original_path,medium_id,original_url,new_dir,date,title
/2017/05/31/release-of-ipython-5-4-6-1-and-rlipython-2,,https://blog.jupyter.org/2017/05/31/release-of-ipython-5-4-6-1-and-rlipython-2,2017-05-31-release-of-ipython-5-4-6-1-and-rlipython-2,2017-05-31,"Release of IPython 5.4, 6.1, and rlipython."
/2017/05/31/release-of-ipython-5-4-6-1-and-rlipython-2,,https://blog.jupyter.org/2017/05/31/release-of-ipython-5-4-6-1-and-rlipython-2,2017-05-31-release-of-ipython-5-4-6-1-and-rlipython-2,2017-05-31,"Release of IPython 5.4, 6.1, and rlipython."
/introducing-the-helm-chart-for-jupyterhub-deployment-with-kubernetes-b79bfd18566d,b79bfd18566d,https://blog.jupyter.org/introducing-the-helm-chart-for-jupyterhub-deployment-with-kubernetes-b79bfd18566d,2017-06-29-introducing-the-helm-chart-for-jupyterhub-deployment-with-kubernetes,2017-06-29,Introducing the Helm Chart for JupyterHub Deployment with Kubernetes
/2017/06/29/introducing-the-helm-chart-for-jupyterhub-deployment-with-kubernetes,b79bfd18566d,https://blog.jupyter.org/2017/06/29/introducing-the-helm-chart-for-jupyterhub-deployment-with-kubernetes,2017-06-29-introducing-the-helm-chart-for-jupyterhub-deployment-with-kubernetes,2017-06-29,Introducing the Helm Chart for JupyterHub Deployment with Kubernetes
/jupytercon-nyc-august-22nd-25th-565dc4129835,565dc4129835,https://blog.jupyter.org/jupytercon-nyc-august-22nd-25th-565dc4129835,2017-07-14-jupytercon-nyc-august-22nd-25th,2017-07-14,JupyterCon NYC: August 22nd-25th
/2017/07/14/jupytercon-nyc-august-22nd-25th,565dc4129835,https://blog.jupyter.org/2017/07/14/jupytercon-nyc-august-22nd-25th,2017-07-14-jupytercon-nyc-august-22nd-25th,2017-07-14,JupyterCon NYC: August 22nd-25th
/jupyter-notebook-5-1-0-ddc8b0d6e989,ddc8b0d6e989,https://blog.jupyter.org/jupyter-notebook-5-1-0-ddc8b0d6e989,2017-09-15-jupyter-notebook-5-1-0,2017-09-15,Jupyter Notebook 5.1.0
/release-of-ipython-5-5-and-6-2-158537648393,158537648393,https://blog.jupyter.org/release-of-ipython-5-5-and-6-2-158537648393,2017-09-15-release-of-ipython-5-5-and-6-2,2017-09-15,Release of IPython 5.5 and 6.2
/jupyterhub-0-8-19b00b75e3df,19b00b75e3df,https://blog.jupyter.org/jupyterhub-0-8-19b00b75e3df,2017-10-03-jupyterhub-0-8,2017-10-03,JupyterHub 0.8
/jupyter-notebook-5-2-0-9c5b3ea672f,9c5b3ea672f,https://blog.jupyter.org/jupyter-notebook-5-2-0-9c5b3ea672f,2017-10-13-jupyter-notebook-5-2-0,2017-10-13,Jupyter Notebook 5.2.0
/congratulations-to-the-ligo-and-virgo-collaborations-from-project-jupyter-5923247be019,5923247be019,https://blog.jupyter.org/congratulations-to-the-ligo-and-virgo-collaborations-from-project-jupyter-5923247be019,2017-11-13-congratulations-to-the-ligo-and-virgo-collaborations-from-project-jupyter,2017-11-13,Congratulations to the LIGO and VIRGO Collaborations from Project Jupyter
/enjoy-jupytercon-2017-on-youtube-670e5ee606a8,670e5ee606a8,https://blog.jupyter.org/enjoy-jupytercon-2017-on-youtube-670e5ee606a8,2017-11-24-enjoy-jupytercon-2017-on-youtube,2017-11-24,Enjoy JupyterCon 2017 on YouTube
/public-notebooks-and-security-3058c433c884,3058c433c884,https://blog.jupyter.org/public-notebooks-and-security-3058c433c884,2017-11-28-public-notebooks-and-security,2017-11-28,Public Notebooks and Security
/interactive-workflows-for-c-with-jupyter-fe9b54227d92,fe9b54227d92,https://blog.jupyter.org/interactive-workflows-for-c-with-jupyter-fe9b54227d92,2017-11-29-interactive-workflows-for-c-with-jupyter,2017-11-29,Interactive Workflows for C++ with Jupyter
/binder-2-0-a-tech-guide-2017-fd40515a3a84,fd40515a3a84,https://blog.jupyter.org/binder-2-0-a-tech-guide-2017-fd40515a3a84,2017-11-30-binder-2-0-a-tech-guide-2017,2017-11-30,"Binder 2.0, a Tech Guide"
/incident-report-jupyter-services-down-f5b3888fa5c2,f5b3888fa5c2,https://blog.jupyter.org/incident-report-jupyter-services-down-f5b3888fa5c2,2017-12-14-incident-report-jupyter-services-down,2017-12-14,Incident Report: Jupyter services down
/announcing-the-jupyterhub-helm-chart-v0-5-fa532bb8519d,fa532bb8519d,https://blog.jupyter.org/announcing-the-jupyterhub-helm-chart-v0-5-fa532bb8519d,2017-12-20-announcing-the-jupyterhub-helm-chart-v0-5,2017-12-20,Announcing the JupyterHub Helm Chart v0.5
